ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,RejectionReason
45761805.0,5018.0,-,MITSUBISHI,Pajero 2.5diezel,2017,Jeep,No,Diesel,2.5 Turbo,600309 km,4,Automatic,4x4,4-May,Left wheel,,2.0,Invalid or Empty value in 'Color'
44586694.0,6000.0,-,MITSUBISHI,Galant GTS,2015,Sedan,Yes,Petrol,3.8,507000 km,6,Tiptronic,Front,4-May,,Silver,12.0,Invalid or Empty value in 'Wheel'
45804108.0,28830.0,707,HYUNDAI,Tucson,1998,Jeep,Yes,Diesel,,276960 km,4,Automatic,Front,4-May,Left wheel,Black,4.0,Invalid or Empty value in 'Engine volume'
45803147.0,10349.0,836,HYUNDAI,Sonata,2015,Sedan,Yes,Petrol,2,595100 km,4,Automatic,,4-May,Left wheel,Grey,4.0,Invalid or Empty value in 'Drive wheels'
45804798.0,25.0,-,TOYOTA,RAV 4,2021,Jeep,Yes,Diesel,2.2 Turbo,619100 km,4,Manual,4x4,4-May,,White,13.0,Invalid or Empty value in 'Wheel'
,45000.0,2606,BMW,M5,2008,Sedan,Yes,Petrol,5,113473 km,10,Tiptronic,Rear,4-May,Left wheel,White,10.0,Invalid ID format (not an integer)
45808278.0,1098.0,1091,MAZDA,1000,2016,Jeep,Yes,Petrol,2.5,0 km,,Automatic,4x4,4-May,Left wheel,Blue,12.0,Invalid or Empty value in 'Cylinders'
45644818.0,21639.0,1172,,Highlander,2007,Sedan,Yes,Hybrid,3.5,273000 km,6,Automatic,4x4,4-May,Left wheel,Grey,12.0,Invalid or Empty value in 'Manufacturer'
,46251.0,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,83138 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0,Invalid ID format (not an integer)
45609089.0,4861.0,-,OPEL,Astra g,2017,Goods wagon,No,Petrol,1.6,196213 km,4,Manual,Front,,Left wheel,Silver,2.0,Invalid or Empty value in 'Doors'
45810943.0,392.0,697,CHEVROLET,,2022,Sedan,Yes,Petrol,1.8,442000 km,4,Automatic,Front,4-May,Left wheel,Black,12.0,Invalid or Empty value in 'Model'
45762441.0,1333.0,585,LEXUS,CT 200h,2013,,Yes,Hybrid,1.8,0 km,4,Automatic,Front,4-May,Left wheel,Red,0.0,Invalid or Empty value in 'Category'
45789503.0,31361.0,919,BMW,X5,2012,Jeep,Yes,Diesel,3.0 Turbo,,6,Tiptronic,4x4,4-May,Left wheel,White,6.0,Invalid or Empty value in 'Mileage'
,28000.0,1017,BMW,520 d xDrive Luxury,2017,Sedan,Yes,Diesel,2,48578 km,4,Automatic,Front,>5,Left wheel,Sky blue,12.0,Invalid ID format (not an integer)
,13799.0,574,HONDA,Insight,2010,Sedan,No,Hybrid,1.3,100000 km,4,Tiptronic,Front,4-May,Left wheel,Silver,10.0,Invalid ID format (not an integer)
45788273.0,6586.0,,NISSAN,March,2020,Hatchback,No,Petrol,1.4,654300 km,4,Automatic,Front,4-May,Right-hand drive,Yellow,4.0,Invalid or Empty value in 'Levy'
41746804.0,4200.0,-,MERCEDES-BENZ,C 180,2021,Sedan,No,Petrol,2,585400 km,4,Manual,Rear,4-May,Right-hand drive,,6.0,Invalid or Empty value in 'Color'
45813584.0,2195.0,915,BMW,535,2022,Sedan,Yes,Diesel,3,557200 km,,Automatic,Rear,4-May,Left wheel,Grey,12.0,Invalid or Empty value in 'Cylinders'
45815398.0,23207.0,900,HYUNDAI,Sonata SPORT,2000,Sedan,Yes,Petrol,2.4,317114 km,4,Tiptronic,Front,4-May,Left wheel,Black,8.0,Duplicate ID
45805176.0,,877,HYUNDAI,Tucson,2017,Jeep,Yes,Diesel,1.7,100628 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0,Invalid or Empty value in 'Price'
45810316.0,,,CHEVROLET,Malibu,2012,Sedan,Yes,Petrol,2,131082 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0,Invalid or Empty value in 'Levy'
,5018.0,-,BMW,318,1999,Hatchback,No,Petrol,1.8,300000 km,4,Manual,Rear,2-Mar,,Beige,6.0,Invalid ID format (not an integer)
45782096.0,29793.0,-,BMW,320 i,1998,Sedan,Yes,Petrol,,43030 km,4,Tiptronic,Rear,4-May,Left wheel,Black,8.0,Invalid or Empty value in 'Engine volume'
45802826.0,53154.0,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,102313 km,4,Automatic,Front,4-May,Left wheel,,4.0,Invalid or Empty value in 'Color'
,26657.0,919,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3,271701 km,6,Automatic,4x4,4-May,Left wheel,White,12.0,Invalid ID format (not an integer)
45655638.0,392.0,761,TOYOTA,Prius,2022,Hatchback,Yes,Hybrid,1.8,678200 km,4,Automatic,Front,4-May,Left wheel,,12.0,Invalid or Empty value in 'Color'
45801532.0,13172.0,-,MITSUBISHI,Outlander,2005,Jeep,No,Petrol,2.4,,4,Manual,4x4,4-May,Left wheel,Silver,8.0,Invalid or Empty value in 'Mileage'
44727071.0,9408.0,-,MITSUBISHI,Pajero,2013,Jeep,No,Petrol,3.5,550200 km,4,Automatic,4x4,4-May,Right-hand drive,,2.0,Invalid or Empty value in 'Color'
45788627.0,14113.0,-,MERCEDES-BENZ,E 270,2010,,No,Diesel,2.7 Turbo,340700 km,5,Tiptronic,Rear,4-May,Left wheel,Silver,12.0,Invalid or Empty value in 'Category'
44343992.0,86243.0,-,MERCEDES-BENZ,S 63 AMG,2010,Sedan,Yes,Petrol,5.5 Turbo,,8,,Rear,4-May,Left wheel,Grey,12.0,Invalid or Empty value in 'Mileage'
45809668.0,7997.0,2566,FORD,Mustang,2017,Jeep,Yes,Petrol,5,520400 km,8,Automatic,Rear,4-May,Left wheel,,12.0,Invalid or Empty value in 'Color'
45793944.0,120.0,1172,KIA,Sorento,2022,Jeep,No,Petrol,3.5,656300 km,,Tiptronic,4x4,4-May,Left wheel,Grey,10.0,Invalid or Empty value in 'Cylinders'
45624957.0,4077.0,919,BMW,X5,2018,Jeep,Yes,Diesel,3,586100 km,6,Automatic,4x4,4-May,Left wheel,White,,Invalid or Empty value in 'Airbags'
45769239.0,69935.0,1646,LEXUS,GX 470,2015,Jeep,Yes,Petrol,4.6,273493 km,8,,4x4,4-May,Left wheel,Silver,0.0,Invalid or Empty value in 'Gear box type'
43637471.0,,-,MERCEDES-BENZ,R 350,2011,Jeep,Yes,Diesel,3,162000 km,6,Tiptronic,4x4,4-May,Left wheel,Black,12.0,Invalid or Empty value in 'Price'
45732384.0,43815.0,640,HYUNDAI,Santa FE,1988,Jeep,Yes,Diesel,2,0 km,4,Automatic,Front,4-May,Left wheel,Brown,,Invalid or Empty value in 'Airbags'
45544760.0,,-,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,150000 km,4,,Front,4-May,Right-hand drive,Black,4.0,Invalid or Empty value in 'Gear box type'
45618967.0,13172.0,1793,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,5.5,462500 km,8,Automatic,4x4,,Left wheel,Black,12.0,Invalid or Empty value in 'Doors'
45816280.0,16935.0,1481,BMW,,2007,Jeep,Yes,Petrol,3,394419 km,6,Automatic,4x4,4-May,Left wheel,White,12.0,Invalid or Empty value in 'Model'
45715120.0,9400.0,3008,FORD,Transit,2014,Universal,Yes,LPG,2,457900 km,4,Automatic,Rear,4-May,Right-hand drive,White,,Invalid or Empty value in 'Airbags'
43590808.0,10976.0,1266,HONDA,FIT GP-6,2012,Hatchback,No,Hybrid,1.5,449200 km,4,Automatic,4x4,,Right-hand drive,Silver,4.0,Invalid or Empty value in 'Doors'
,11917.0,-,MERCEDES-BENZ,E 320 4matic,2000,Sedan,Yes,CNG,3.2,265000 km,6,Tiptronic,4x4,4-May,Left wheel,Silver,8.0,Invalid ID format (not an integer)
45651047.0,5018.0,1399,LEXUS,RX 450,2020,Jeep,Yes,Hybrid,3.5,619100 km,6,Automatic,4x4,4-May,Left wheel,Black,,Invalid or Empty value in 'Airbags'
45772588.0,1803.0,765,CHEVROLET,1500,2022,Sedan,Yes,Petrol,2,741900 km,4,Automatic,Front,4-May,,Silver,12.0,Invalid or Empty value in 'Wheel'
45770334.0,1882.0,1053,MERCEDES-BENZ,E 350,2019,Sedan,Yes,Petrol,3.5,579500 km,6,Automatic,Rear,4-May,Left wheel,,12.0,Invalid or Empty value in 'Color'
45621693.0,7056.0,915,BMW,X5,2013,Jeep,,Diesel,3,538200 km,6,Automatic,4x4,4-May,Left wheel,Blue,0.0,Invalid or Empty value in 'Leather interior'
45816279.0,9565.0,1578,BMW,X5,2014,Jeep,Yes,Petrol,,437600 km,8,Automatic,4x4,4-May,Left wheel,White,12.0,Invalid or Empty value in 'Engine volume'
45797314.0,37000.0,777,HYUNDAI,H1,1994,Minivan,Yes,,2.5,132600 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0,Invalid or Empty value in 'Fuel type'
45432915.0,6899.0,-,HONDA,Cr-v,2012,Jeep,No,Petrol,2,522900 km,4,Automatic,Front,4-May,Left wheel,Black,,Invalid or Empty value in 'Airbags'
45787200.0,11917.0,-,VOLKSWAGEN,Golf,2013,Hatchback,No,,1.9 Turbo,501300 km,4,Manual,Front,4-May,Left wheel,Grey,4.0,Invalid or Empty value in 'Fuel type'
,549.0,777,MAZDA,1300,2014,Jeep,Yes,Petrol,2.5,79094 km,4,Automatic,Front,4-May,Left wheel,Black,12.0,Invalid ID format (not an integer)
45787489.0,11604.0,-,TOYOTA,Yaris,,Coupe,No,Petrol,1.5,0 km,4,Manual,Front,2-Mar,Left wheel,Black,2.0,Invalid or Empty value in 'Prod. year'
45798280.0,13172.0,-,HONDA,Edix FR-v,2009,,Yes,Diesel,2.2 Turbo,521378 km,4,Manual,Front,4-May,Left wheel,Silver,0.0,Invalid or Empty value in 'Category'
45731103.0,30750.0,777,,H1,1997,Minivan,Yes,Diesel,2.5,71300 km,4,Automatic,Front,4-May,Left wheel,White,4.0,Invalid or Empty value in 'Manufacturer'
45731418.0,34108.0,777,HYUNDAI,H1,1995,Minivan,Yes,Diesel,2.5,83000 km,,Automatic,Front,4-May,Left wheel,Grey,4.0,Invalid or Empty value in 'Cylinders'
45793362.0,12544.0,-,TOYOTA,Prius,2011,Sedan,No,Petrol,1.5,535300 km,4,Automatic,Front,4-May,Left wheel,Silver,6.0,Duplicate ID
45804789.0,19547.0,640,HYUNDAI,Tucson,2004,Jeep,Yes,Diesel,2,314100 km,4,Automatic,Front,4-May,Left wheel,Black,,Invalid or Empty value in 'Airbags'
45732095.0,49858.0,639,HYUNDAI,Santa FE,2014,Jeep,,Diesel,2,79769 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0,Invalid or Empty value in 'Leather interior'
45809423.0,,584,TOYOTA,Corolla,2014,Sedan,Yes,Petrol,1.8,196010 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0,Invalid or Empty value in 'Price'
45813442.0,13172.0,1091,TOYOTA,Camry,2010,Sedan,Yes,Petrol,2.5,575100 km,4,,Front,4-May,Left wheel,Grey,12.0,Invalid or Empty value in 'Gear box type'
45758183.0,784.0,781,FORD,,2019,Jeep,Yes,Hybrid,2.5,585600 km,4,Automatic,Front,4-May,Left wheel,Blue,0.0,Invalid or Empty value in 'Model'
45792407.0,21012.0,-,DODGE,,2001,Minivan,No,Petrol,3.6,291500 km,6,Tiptronic,Front,4-May,Left wheel,Black,4.0,Invalid or Empty value in 'Model'
45766227.0,17876.0,-,MERCEDES-BENZ,Sprinter,2012,,No,Diesel,2.2 Turbo,477700 km,4,Manual,Rear,4-May,Left wheel,Golden,4.0,Invalid or Empty value in 'Category'
43347134.0,8781.0,-,FORD,Escape Ã©ÂÂ¿Ã¢ÂÂÃ¥ÂÂÃ©ÂÂ¿Ã¢ÂÂÃ¥ÂÂ¸Ã©ÂÂ¿Ã§ÂÂªÃ¥ÂÂÃ©ÂÂ¿Ã£ÂÂÃ¥ÂÂ©Ã©ÂÂ¿?2001,2012,Yes,Petrol,3.0 Turbo,199283 km,643900 km,Automatic,4x4,4-May,Left wheel,Golden,6,,Illegal characters in 'Model'
45521131.0,23521.0,1750,TOYOTA,Highlander LIMITED,2003,Jeep,Yes,Hybrid,,120600 km,6,Automatic,4x4,4-May,Left wheel,White,12.0,Invalid or Empty value in 'Engine volume'
,18189.0,-,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000 km,4,Automatic,Front,4-May,Left wheel,Silver,8.0,Invalid ID format (not an integer)
45680258.0,,-,LAND ROVER,Range Rover,2012,Jeep,Yes,Petrol,5.0 Turbo,139200 km,8,Tiptronic,4x4,4-May,Left wheel,Black,12.0,Invalid or Empty value in 'Price'
45786449.0,49864.0,917,LEXUS,ES 300,2013,Sedan,Yes,Hybrid,,100000 km,10,Automatic,Front,4-May,Left wheel,Black,12.0,Invalid or Empty value in 'Engine volume'
45808982.0,8938.0,531,CHEVROLET,Aveo,2016,Hatchback,Yes,,1.6,538600 km,4,Automatic,Front,4-May,Left wheel,Black,4.0,Invalid or Empty value in 'Fuel type'
45809289.0,14950.0,,HONDA,FIT,2006,Hatchback,Yes,Petrol,1.5,460000 km,4,Automatic,Front,4-May,Left wheel,Blue,4.0,Invalid or Empty value in 'Levy'
45771257.0,941.0,1493,HONDA,Pilot,2016,Jeep,Yes,Petrol,,0 km,6,Automatic,4x4,4-May,Left wheel,Black,12.0,Invalid or Empty value in 'Engine volume'
45757369.0,941.0,645,HONDA,Civic,2022,Sedan,Yes,Petrol,1.8,636300 km,4,Automatic,Front,4-May,Left wheel,Black,,Invalid or Empty value in 'Airbags'
,2038.0,697,HONDA,Civic,2015,Sedan,Yes,Petrol,1.8,80542 km,4,Automatic,Front,4-May,Left wheel,Grey,12.0,Invalid ID format (not an integer)
45803523.0,11290.0,891,HYUNDAI,Sonata,2016,Sedan,,,2,343700 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0,Invalid or Empty value in 'Leather interior'
,1019.0,831,HYUNDAI,Elantra,2017,Sedan,Yes,Petrol,1.6,25635 km,4,Automatic,Front,4-May,Left wheel,Black,12.0,Invalid ID format (not an integer)
45617584.0,862.0,394,TOYOTA,Camry,2020,,Yes,Hybrid,2.5,677824 km,4,Automatic,Front,4-May,Left wheel,White,12.0,Invalid or Empty value in 'Category'
45772702.0,45473.0,1588,TOYOTA,Hilux,2007,Jeep,No,Diesel,2.5 Turbo,,4,Manual,4x4,4-May,Left wheel,Silver,6.0,Invalid or Empty value in 'Mileage'
45709646.0,10820.0,-,TOYOTA,RAV 4,2011,Jeep,No,Petrol,2,386200 km,4,Automatic,4x4,2-Mar,,Silver,4.0,Invalid or Empty value in 'Wheel'
44528385.0,9408.0,-,BMW,318 Ã©ÂÂ¿Ã§ÂÂªÃ¥ÂÂÃ©ÂÂ¿Ã¢ÂÂÃ¥ÂÂ®Ã©ÂÂ¿Ã¦ÂÂ¥Ã¥ÂÂ¤Ã©ÂÂ¿Ã¦Â°Â Ã¥ÂÂ¤Ã©ÂÂ¿Ã¦ÂºÂ¼Ã¥ÂÂÃ©ÂÂ¿?2004,2014,No,Petrol,1.9,81000 km,489428 km,Tiptronic,Rear,4-May,Right-hand drive,Blue,6,,Illegal characters in 'Model'
45715218.0,500.0,-,FORD,Transit,2022,Microbus,No,Diesel,2.5,643300 km,4,Manual,Rear,4-May,Left wheel,,2.0,Invalid or Empty value in 'Color'
45813328.0,31988.0,1017,LEXUS,,1996,Jeep,Yes,Petrol,2,88100 km,4,Automatic,4x4,4-May,Left wheel,Grey,12.0,Invalid or Empty value in 'Model'
45768982.0,,-,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,6666 km,4,Manual,Front,4-May,Left wheel,Golden,4.0,Invalid or Empty value in 'Price'
45793295.0,103491.0,-,OPEL,Combo,,Goods wagon,No,Diesel,1.3 Turbo,230000 km,4,Manual,Front,2-Mar,Left wheel,White,2.0,Invalid or Empty value in 'Prod. year'
45802129.0,,862,HYUNDAI,H1,2011,Universal,Yes,Diesel,2.5,237853 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0,Invalid or Empty value in 'Price'
45787547.0,14113.0,-,VOLKSWAGEN,Passat 2.0 tfsi,2011,Sedan,Yes,Petrol,2.0 Turbo,325500 km,4,Automatic,Front,4-May,Left wheel,,12.0,Invalid or Empty value in 'Color'
45765136.0,4077.0,474,FIAT,500,2020,Sedan,Yes,Petrol,1.4,703600 km,4,Automatic,Front,,Left wheel,Black,12.0,Invalid or Empty value in 'Doors'
45763712.0,45.0,-,TOYOTA,Prius,2022,Sedan,,Hybrid,1.8,631200 km,4,Variator,Front,4-May,Left wheel,White,8.0,Invalid or Empty value in 'Leather interior'
45499516.0,64290.0,-,AUDI,A8,2011,Sedan,Yes,Petrol,4.2,105700 km,,Tiptronic,4x4,4-May,Left wheel,Black,12.0,Invalid or Empty value in 'Cylinders'
45776862.0,18503.0,1528,TOYOTA,"Highlander 2,4",2007,Jeep,No,Petrol,2.4,147939 km,4,Automatic,Front,4-May,Left wheel,Silver,8.0,Illegal characters in 'Model'
45772078.0,3763.0,832,TOYOTA,Tacoma,2014,Jeep,Yes,Petrol,2.7,,4,Automatic,Rear,4-May,Left wheel,Grey,12.0,Invalid or Empty value in 'Mileage'
,470.0,751,KIA,Optima,2013,Sedan,Yes,Petrol,2.4,230032 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0,Invalid ID format (not an integer)
45785565.0,13485.0,-,BMW,X5,2010,Jeep,Yes,Petrol,,502400 km,6,Tiptronic,4x4,4-May,Left wheel,Black,6.0,Invalid or Empty value in 'Engine volume'
45809637.0,69807.0,831,HONDA,Civic,2018,Sedan,Yes,Petrol,1.5,,4,Automatic,Front,4-May,Left wheel,Black,4.0,Invalid or Empty value in 'Mileage'
45807385.0,7840.0,-,SUZUKI,Swift,2012,Hatchback,No,,1.5,655300,4,Automatic,4x4,4-May,Right-hand drive,Silver,4.0,Invalid or Empty value in 'Fuel type'
45787051.0,5331.0,-,UAZ,31514,1990,Jeep,No,Petrol,2.4,,4,Manual,4x4,4-May,Left wheel,Black,0.0,Invalid or Empty value in 'Mileage'
45810040.0,33494.0,595,TOYOTA,Aqua,1995,Hatchback,Yes,Petrol,1.5,42900 km,4,Automatic,,4-May,Left wheel,Silver,4.0,Invalid or Empty value in 'Drive wheels'
,5175.0,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,140944 km,6,Automatic,Rear,4-May,Left wheel,White,12.0,Invalid ID format (not an integer)
45422964.0,18189.0,-,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,483200 km,4,Automatic,4x4,4-May,,Silver,6.0,Invalid or Empty value in 'Wheel'
45815750.0,12074.0,843,HONDA,FIT,2011,Hatchback,No,,1.5,457400 km,4,Tiptronic,Front,4-May,Left wheel,Orange,8.0,Invalid or Empty value in 'Fuel type'
39936511.0,,-,HONDA,Elysion,2006,Minivan,No,Petrol,3,145000 km,6,Automatic,Front,4-May,Right-hand drive,White,8.0,Invalid or Empty value in 'Price'
45805934.0,17876.0,-,TOYOTA,Prius,2010,Sedan,No,Petrol,1.8,,4,Automatic,Front,,Left wheel,Silver,8.0,Invalid or Empty value in 'Mileage'
45779122.0,13172.0,,NISSAN,X-Trail,2010,Jeep,Yes,CNG,2,453600 km,4,Automatic,4x4,4-May,Right-hand drive,Silver,4.0,Invalid or Empty value in 'Levy'
